2025-01-07 22:34:35,954 [INFO] logger         :39        Logger initialized successfully!
2025-01-07 22:34:36,538 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:34:36,539 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:34:36,540 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:34:36,557 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:34:36,558 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:34:36,559 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:34:36,560 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:34:36,577 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:34:36,578 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:34:36,579 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:34:36,581 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:34:36,593 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:34:36,594 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:34:36,595 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:34:36,597 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:34:36,613 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:34:36,614 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:34:36,615 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:34:36,616 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:34:36,625 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:34:36,626 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:34:36,627 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:34:36,628 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:34:36,909 [INFO] main           :191       No messages in the queue.
2025-01-07 22:34:36,981 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:34:39,234 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:34:39,236 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:34:39,237 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:34:39,269 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:34:39,270 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:34:39,271 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:34:39,272 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:34:39,285 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:34:39,286 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:34:39,287 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:34:39,288 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:34:39,301 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:34:39,302 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:34:39,303 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:34:39,304 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:34:39,313 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:34:39,314 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:34:39,315 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:34:39,317 [INFO] main           :69        Reading tag: tag_5
2025-01-07 22:34:39,328 [INFO] main           :86        Converting data for tag tag_5 - High Word: 57127, Low Word: 33168
2025-01-07 22:34:39,329 [INFO] main           :88        Converted value for tag_5: 2173755175
2025-01-07 22:34:39,331 [INFO] main           :95        Converted tag_5 into signed: -2121212121
2025-01-07 22:34:39,332 [INFO] main           :100       Data after conversion: [['tag_1', -1], ['tag_2', 23], ['tag_3', 12], ['tag_4', 131532758], ['tag_5', -2121212121]]
2025-01-07 22:34:39,606 [INFO] main           :191       No messages in the queue.
2025-01-07 22:34:39,708 [INFO] rabbit_mq      :29        Message published successfully.
2025-01-07 22:34:41,959 [INFO] main           :56        Modbus Device Connected
2025-01-07 22:34:41,961 [INFO] main           :64        Getting Tags Data...
2025-01-07 22:34:41,963 [INFO] main           :69        Reading tag: tag_1
2025-01-07 22:34:41,973 [INFO] main           :86        Converting data for tag tag_1 - High Word: 65535, Low Word: 65535
2025-01-07 22:34:41,975 [INFO] main           :88        Converted value for tag_1: 4294967295
2025-01-07 22:34:41,977 [INFO] main           :95        Converted tag_1 into signed: -1
2025-01-07 22:34:41,979 [INFO] main           :69        Reading tag: tag_2
2025-01-07 22:34:41,989 [INFO] main           :86        Converting data for tag tag_2 - High Word: 23, Low Word: 0
2025-01-07 22:34:41,991 [INFO] main           :88        Converted value for tag_2: 23
2025-01-07 22:34:41,993 [INFO] main           :95        Converted tag_2 into signed: 23
2025-01-07 22:34:41,994 [INFO] main           :69        Reading tag: tag_3
2025-01-07 22:34:42,002 [INFO] main           :86        Converting data for tag tag_3 - High Word: 12, Low Word: 0
2025-01-07 22:34:42,003 [INFO] main           :88        Converted value for tag_3: 12
2025-01-07 22:34:42,005 [INFO] main           :95        Converted tag_3 into signed: 12
2025-01-07 22:34:42,007 [INFO] main           :69        Reading tag: tag_4
2025-01-07 22:34:42,025 [INFO] main           :86        Converting data for tag tag_4 - High Word: 2006, Low Word: 2007
2025-01-07 22:34:42,027 [INFO] main           :88        Converted value for tag_4: 131532758
2025-01-07 22:34:42,029 [INFO] main           :95        Converted tag_4 into signed: 131532758
2025-01-07 22:34:42,030 [INFO] main           :69        Reading tag: tag_5
